,date,location,population,GDP,energy_consumption,GSP
0,2000-01,aus,19274701.0,1127062.0,5011.8,
1,2001-02,aus,19495210.0,1172160.0,5097.0,
2,2002-03,aus,19720737.0,1207160.0,5138.7,
3,2003-04,aus,19932722.0,1256117.0,5284.7,
4,2004-05,aus,20176844.0,1296365.0,5399.2,
5,2005-06,aus,20450966.0,1332593.0,5546.7,
6,2006-07,aus,20827622.0,1383822.0,5724.0,
7,2007-08,aus,21249199.0,1434441.0,5738.3,
8,2008-09,aus,21691653.0,1462225.0,5843.8,
9,2009-10,aus,22031750.0,1492456.0,5823.3,
10,2010-11,aus,22340024.0,1529212.0,5902.2,
11,2011-12,aus,22733465.0,1589129.0,5887.8,
12,2012-13,aus,23128129.0,1630206.0,5915.3,
13,2013-14,aus,23475686.0,1671501.0,5891.4,
14,2014-15,aus,23815995.0,1708151.0,5897.3,
15,2015-16,aus,24190907.0,1755478.0,6040.8,
16,2016-17,aus,24601860.0,1797041.0,6114.6,
17,2017-18,aus,24982688.0,1849880.0,6159.1,
18,2018-19,aus,25357553.0,1884969.0,6196.0,
0,2000-01,nsw,6851887.0,,1450.5,411286.0
1,2001-02,nsw,6905434.0,,1445.7,419311.0
2,2002-03,nsw,6948072.0,,1510.5,428112.0
3,2003-04,nsw,6979675.0,,1574.8,442714.0
4,2004-05,nsw,7024605.0,,1544.9,450746.0
5,2005-06,nsw,7077860.0,,1546.0,457016.0
6,2006-07,nsw,7176800.0,,1568.9,465480.0
7,2007-08,nsw,7291829.0,,1610.7,477101.0
8,2008-09,nsw,7408540.0,,1592.2,482539.0
9,2009-10,nsw,7506058.0,,1643.2,492315.0
10,2010-11,nsw,7586514.0,,1665.7,504340.0
11,2011-12,nsw,7680783.0,,1619.6,516038.0
12,2012-13,nsw,7787289.0,,1566.2,525816.0
13,2013-14,nsw,7897152.0,,1514.2,535464.0
14,2014-15,nsw,8011981.0,,1467.6,549534.0
15,2015-16,nsw,8135962.0,,1514.7,570349.0
16,2016-17,nsw,8279961.0,,1525.3,588454.0
17,2017-18,nsw,8400547.0,,1545.1,603143.0
18,2018-19,nsw,8511621.0,,1540.6,614409.0
0,2000-01,qld,3571469.0,,1020.0,192765.0
1,2001-02,qld,3653123.0,,1057.8,205841.0
2,2002-03,qld,3743121.0,,1064.0,212503.0
3,2003-04,qld,3829970.0,,1081.1,225939.0
4,2004-05,qld,3918494.0,,1225.1,238219.0
5,2005-06,qld,4007992.0,,1279.5,250498.0
6,2006-07,qld,4111018.0,,1329.0,267333.0
7,2007-08,qld,4219505.0,,1289.5,279738.0
8,2008-09,qld,4328771.0,,1346.7,283635.0
9,2009-10,qld,4404744.0,,1295.8,287659.0
10,2010-11,qld,4476778.0,,1251.3,289605.0
11,2011-12,qld,4568687.0,,1316.4,305645.0
12,2012-13,qld,4652824.0,,1336.5,314029.0
13,2013-14,qld,4719653.0,,1337.9,320742.0
14,2014-15,qld,4777692.0,,1432.0,323849.0
15,2015-16,qld,4845152.0,,1460.2,331726.0
16,2016-17,qld,4927629.0,,1529.6,339652.0
17,2017-18,qld,5009424.0,,1552.5,352248.0
18,2018-19,qld,5092526.0,,1525.3,357044.0
0,2000-01,sa,1503461.0,,329.3,77122.0
1,2001-02,sa,1511567.0,,328.1,79882.0
2,2002-03,sa,1520399.0,,357.3,81310.0
3,2003-04,sa,1528189.0,,371.5,83202.0
4,2004-05,sa,1538804.0,,355.6,84430.0
5,2005-06,sa,1552529.0,,350.1,86297.0
6,2006-07,sa,1570619.0,,375.5,88355.0
7,2007-08,sa,1588665.0,,372.5,92502.0
8,2008-09,sa,1608902.0,,357.1,95215.0
9,2009-10,sa,1627322.0,,343.5,97099.0
10,2010-11,sa,1639614.0,,342.6,98612.0
11,2011-12,sa,1656725.0,,307.5,99569.0
12,2012-13,sa,1671488.0,,356.2,100633.0
13,2013-14,sa,1686945.0,,343.5,101438.0
14,2014-15,sa,1700668.0,,363.4,102333.0
15,2015-16,sa,1712843.0,,323.5,102602.0
16,2016-17,sa,1723923.0,,295.1,104125.0
17,2017-18,sa,1736527.0,,335.5,106477.0
18,2018-19,sa,1752326.0,,322.6,107990.0
0,2000-01,tas,473668.0,,93.6,21192.0
1,2001-02,tas,474152.0,,97.2,22129.0
2,2002-03,tas,478534.0,,99.5,22766.0
3,2003-04,tas,483178.0,,103.4,23912.0
4,2004-05,tas,486202.0,,107.4,24390.0
5,2005-06,tas,489302.0,,111.6,25176.0
6,2006-07,tas,493262.0,,113.3,25947.0
7,2007-08,tas,498568.0,,115.5,26839.0
8,2008-09,tas,504353.0,,114.9,27375.0
9,2009-10,tas,508847.0,,114.9,27605.0
10,2010-11,tas,511483.0,,114.9,28130.0
11,2011-12,tas,511724.0,,108.1,28333.0
12,2012-13,tas,512231.0,,113.5,28259.0
13,2013-14,tas,513621.0,,108.7,28552.0
14,2014-15,tas,515117.0,,105.4,28865.0
15,2015-16,tas,517514.0,,107.5,29364.0
16,2016-17,tas,522410.0,,107.9,29685.0
17,2017-18,tas,528298.0,,110.9,30710.0
18,2018-19,tas,534599.0,,108.8,31819.0
0,2000-01,vic,4763615.0,,1337.2,268713.0
1,2001-02,vic,4817774.0,,1371.9,279448.0
2,2002-03,vic,4873809.0,,1330.6,289224.0
3,2003-04,vic,4927149.0,,1364.9,298886.0
4,2004-05,vic,4989246.0,,1356.5,311197.0
5,2005-06,vic,5061266.0,,1429.5,317619.0
6,2006-07,vic,5153522.0,,1433.9,326877.0
7,2007-08,vic,5256375.0,,1426.1,338154.0
8,2008-09,vic,5371934.0,,1418.9,344311.0
9,2009-10,vic,5461101.0,,1424.3,348730.0
10,2010-11,vic,5537817.0,,1446.0,358943.0
11,2011-12,vic,5651091.0,,1454.3,366246.0
12,2012-13,vic,5772669.0,,1422.4,370232.0
13,2013-14,vic,5894917.0,,1420.7,378812.0
14,2014-15,vic,6022322.0,,1403.5,389391.0
15,2015-16,vic,6173172.0,,1430.4,402564.0
16,2016-17,vic,6321606.0,,1400.6,418885.0
17,2017-18,vic,6462019.0,,1317.4,432993.0
18,2018-19,vic,6593884.0,,1297.6,446079.0
0,2000-01,wa,1906274.0,,708.1,122969.0
1,2001-02,wa,1928512.0,,722.9,131200.0
2,2002-03,wa,1952741.0,,720.0,138059.0
3,2003-04,wa,1979542.0,,730.3,146469.0
4,2004-05,wa,2011207.0,,748.2,151620.0
5,2005-06,wa,2050581.0,,757.1,158729.0
6,2006-07,wa,2106139.0,,820.7,168938.0
7,2007-08,wa,2171700.0,,828.0,177371.0
8,2008-09,wa,2240250.0,,918.8,183919.0
9,2009-10,wa,2290845.0,,907.5,192854.0
10,2010-11,wa,2353409.0,,981.8,201434.0
11,2011-12,wa,2425507.0,,983.6,220648.0
12,2012-13,wa,2486944.0,,1020.3,233689.0
13,2013-14,wa,2517608.0,,1067.3,247281.0
14,2014-15,wa,2540672.0,,1041.8,253346.0
15,2015-16,wa,2555978.0,,1120.7,256383.0
16,2016-17,wa,2574193.0,,1172.9,251941.0
17,2017-18,wa,2594181.0,,1206.6,258120.0
18,2018-19,wa,2621836.0,,1261.0,260640.0
0,2000-01,nt,201743.0,,73.2,14361.0
1,2001-02,nt,202251.0,,73.4,15378.0
2,2002-03,nt,201725.0,,56.8,15471.0
3,2003-04,nt,202663.0,,58.7,15570.0
4,2004-05,nt,205905.0,,61.5,15787.0
5,2005-06,nt,209057.0,,73.0,17010.0
6,2006-07,nt,213748.0,,82.8,18791.0
7,2007-08,nt,219874.0,,96.0,19162.0
8,2008-09,nt,226027.0,,95.1,20437.0
9,2009-10,nt,229778.0,,94.2,20147.0
10,2010-11,nt,231292.0,,99.8,20635.0
11,2011-12,nt,235915.0,,98.2,21607.0
12,2012-13,nt,241722.0,,100.1,24189.0
13,2013-14,nt,242894.0,,99.1,24502.0
14,2014-15,nt,244692.0,,83.7,25105.0
15,2015-16,nt,245678.0,,83.9,25601.0
16,2016-17,nt,247517.0,,83.2,25977.0
17,2017-18,nt,247058.0,,91.1,26501.0
18,2018-19,nt,246103.0,,140.1,26109.0
